name,system,score,NonEffector.prob,T1SE.prob,T2SE.prob,T3SE.prob,T4SE.prob,T6SE.prob,length
T6SE-NP_459015.1,VI,0.665,0.0136,0.0031,0.0007,0.2809,0.0368,0.665,237
T6SE-NP_459023.1,VI,0.3211,0.2177,0.2936,0.1182,0.0352,0.0142,0.3211,699
T1SE-NP_459024.1,I,0.4566,0.0158,0.4566,0.1772,0.2072,0.0097,0.1334,998
T1SE-NP_459037.1,I,0.3707,0.1074,0.3707,0.1446,0.0754,0.0581,0.2438,572
T3SE-NP_459042.1,III,0.5816,0.3588,0.0035,0.0035,0.5816,0.0508,0.0019,417
T1SE-NP_459043.1,I,0.4177,0.0317,0.4177,0.0792,0.3453,0.0381,0.0879,571
T6SE-NP_459055.1,VI,0.4985,0.2225,0.0062,0.0819,0.0109,0.18,0.4985,400
T3SE-NP_459144.1,III,0.6816,0.3026,0.0002,0.0006,0.6816,0.0133,0.0017,247
T6SE-NP_459165.1,VI,0.4123,0.121,0.0007,0.0005,0.2027,0.2628,0.4123,120
T3SE-NP_459193.1,III,0.5424,0.3654,0.0008,0.0024,0.5424,0.001,0.088,176
T3SE-NP_459242.1,III,0.5918,0.3487,0.0019,0.0024,0.5918,0.0542,0.0009,86
T3SE-NP_459243.1,III,0.5088,0.1499,0.0005,0.0004,0.5088,0.2942,0.0461,72
T3SE-NP_459256.1,III,0.4793,0.3895,0.0121,0.0233,0.4793,0.0138,0.0821,259
T3SE-NP_459267.1,III,0.7421,0.2024,0.0007,0.0007,0.7421,0.0194,0.0346,274
T3SE-NP_459268.1,III,0.9651,0.0024,0.0002,1e-04,0.9651,0.032,0.0004,300
T6SE-NP_459273.3,VI,0.6586,0.3266,0.0041,0.001,0.0005,0.0092,0.6586,110
T6SE-NP_459274.1,VI,0.9995,0.0002,1e-04,0.0,1e-04,0.0,0.9995,161
T6SE-NP_459275.1,VI,0.9992,1e-04,0.0005,0.0002,0.0,1e-04,0.9992,161
T6SE-NP_459277.1,VI,0.9994,0.0003,1e-04,0.0,0.0002,0.0,0.9994,161
T3SE-NP_459284.1,III,0.6975,0.0609,0.0013,0.0006,0.6975,0.0017,0.238,262
T6SE-NP_459286.1,VI,0.9315,0.0303,0.0046,0.0008,0.0221,0.0106,0.9315,173
T6SE-NP_459287.1,VI,0.9977,0.0015,0.0007,0.0,1e-04,0.0,0.9977,729
T3SE-NP_459288.1,III,0.4214,0.4049,0.0009,0.0004,0.4214,0.0858,0.0867,148
T6SE-NP_459289.1,VI,0.9952,0.0017,0.0015,1e-04,0.0012,0.0002,0.9952,1364
T6SE-NP_459290.1,VI,0.9862,0.0043,0.0086,0.0007,0.0002,0.0,0.9862,246
T3SE-NP_459342.1,III,0.6424,0.3327,1e-04,0.0005,0.6424,0.024,0.0003,213
T3SE-NP_459358.1,III,0.5842,0.406,0.0006,0.0054,0.5842,0.0015,0.0023,334
T3SE-NP_459384.1,III,0.7776,0.0026,0.0033,0.0007,0.7776,0.1086,0.1072,63
T6SE-NP_459621.1,VI,0.4699,0.4664,0.0393,0.0024,0.0119,0.0101,0.4699,69
