name,system,score,NonEffector.prob,T1SE.prob,T2SE.prob,T3SE.prob,T4SE.prob,T6SE.prob,length
T2SE-NP_064727.1,II,0.5853,0.2614,0.0032,0.5853,0.0057,0.1115,0.0329,568
T3SE-NP_248702.1,III,0.4839,0.3329,0.0019,0.0005,0.4839,0.0985,0.0823,88
T3SE-NP_248704.1,III,0.9402,0.0545,0.0003,0.0003,0.9402,0.0035,0.0013,90
T2SE-NP_248716.1,II,0.5541,0.1338,0.0066,0.5541,0.0092,0.2772,0.019,328
T3SE-NP_248734.1,III,0.9997,0.0,1e-04,1e-04,0.9997,0.0002,0.0,457
T2SE-NP_248739.1,II,0.7293,0.1738,0.0019,0.7293,0.024,0.0076,0.0634,553
T3SE-NP_248742.1,III,0.9981,0.0011,1e-04,1e-04,0.9981,0.0005,1e-04,142
T3SE-NP_248754.1,III,0.8744,0.1065,0.002,0.0067,0.8744,0.0054,0.005,327
T6SE-NP_248775.1,VI,0.9983,0.0015,1e-04,0.0,1e-04,0.0,0.9983,162
T6SE-NP_248781.1,VI,0.9963,0.003,0.0006,0.0,1e-04,0.0,0.9963,643
T3SE-NP_248782.1,III,0.8939,0.0111,0.0015,0.0004,0.8939,0.0868,0.0063,94
T6SE-NP_248783.1,VI,0.998,0.0004,0.0014,1e-04,0.0,1e-04,0.998,430
T6SE-NP_248785.1,VI,0.9971,0.0017,0.0011,0.0,0.0,0.0,0.9971,741
T6SE-NP_248786.1,VI,0.8928,0.051,0.0331,0.0028,0.0199,0.0003,0.8928,149
T6SE-NP_248787.1,VI,0.8445,0.0905,0.0023,0.0006,0.0576,0.0045,0.8445,399
T6SE-NP_248789.1,VI,0.9995,0.0002,0.0002,0.0,0.0,0.0,0.9995,386
T6SE-NP_248790.1,VI,0.566,0.2106,0.0491,0.0055,0.1663,0.0026,0.566,306
T3SE-YP_008719730.1,III,0.8339,0.0499,0.0007,0.0008,0.8339,0.1118,0.0029,212
T6SE-NP_248812.1,VI,0.9409,0.0,0.0448,0.0013,0.0128,1e-04,0.9409,136
T3SE-NP_248825.1,III,0.5187,0.0626,0.0052,0.0002,0.5187,0.308,0.1052,46
T3SE-NP_248860.1,III,0.7833,0.1406,0.0026,0.0006,0.7833,0.0686,0.0042,126
T3SE-NP_248861.1,III,0.4213,0.3493,0.002,0.0018,0.4213,0.2028,0.0228,180
T3SE-NP_248901.1,III,0.9299,0.0579,0.0015,0.0002,0.9299,0.003,0.0074,99
T3SE-NP_248903.1,III,0.5852,0.3801,0.0079,0.0126,0.5852,0.0043,0.01,268
T3SE-NP_248942.1,III,0.8441,0.134,0.0006,0.0004,0.8441,0.0076,0.0133,213
T6SE-NP_248947.1,VI,0.9377,0.0023,0.0453,0.0006,0.0116,0.0025,0.9377,310
T3SE-NP_248950.1,III,0.6861,0.1543,0.0044,0.0018,0.6861,0.068,0.0854,480
T6SE-NP_248951.1,VI,0.9994,0.0,1e-04,1e-04,0.0003,0.0,0.9994,716
T6SE-NP_248953.1,VI,0.9968,0.0018,0.001,1e-04,0.0002,0.0,0.9968,1019
T6SE-NP_248954.1,VI,0.9992,0.0002,0.0002,1e-04,0.0003,0.0,0.9992,172
T3SE-NP_248958.1,III,0.7133,0.2742,0.0006,0.0013,0.7133,0.0069,0.0036,399
T2SE-NP_249002.1,II,0.6945,0.0171,0.1499,0.6945,0.1049,0.0032,0.0303,184
T2SE-NP_249019.1,II,0.6885,0.1349,0.0113,0.6885,0.0078,0.1521,0.0055,647
T2SE-NP_249038.1,II,0.5046,0.4546,0.0038,0.5046,0.0055,0.0196,0.0119,383
T2SE-NP_249052.1,II,0.4963,0.4363,0.0116,0.4963,0.0237,0.0072,0.025,577
T3SE-NP_249075.1,III,0.9801,0.0124,0.0008,0.0003,0.9801,0.0014,0.0049,85
T3SE-NP_249109.1,III,0.9926,0.0002,0.0002,1e-04,0.9926,0.0021,0.0048,471
T2SE-NP_249159.1,II,0.567,0.0356,0.0055,0.567,0.277,0.0239,0.0909,316
T3SE-NP_249172.1,III,0.7193,0.0431,0.0016,0.0002,0.7193,0.1765,0.0594,147
T2SE-NP_249188.1,II,0.7194,0.1624,0.0031,0.7194,0.0075,0.0041,0.1034,333
T2SE-NP_249189.1,II,0.7007,0.182,0.0035,0.7007,0.0133,0.0145,0.086,335
T3SE-NP_249196.1,III,0.9884,0.004,0.0025,0.0004,0.9884,0.0044,0.0003,76
T3SE-NP_249223.1,III,0.4577,0.0734,0.0005,0.0002,0.4577,0.456,0.0122,168
T3SE-NP_249226.1,III,0.6256,0.3545,0.0011,0.0015,0.6256,0.012,0.0053,184
T6SE-NP_249240.1,VI,0.7343,0.078,0.0007,0.0018,0.184,0.0013,0.7343,354
T3SE-NP_249257.1,III,0.9153,0.0717,0.0006,0.0005,0.9153,0.0112,0.0006,171
T3SE-NP_249259.1,III,0.6672,0.0257,0.0021,0.0004,0.6672,0.099,0.2057,152
T3SE-NP_249260.1,III,0.6057,0.2227,0.0026,0.0003,0.6057,0.0769,0.0917,156
T3SE-NP_249261.1,III,0.4229,0.3572,0.0042,0.0012,0.4229,0.0138,0.2006,115
T2SE-NP_249263.1,II,0.93,0.0368,0.0025,0.93,0.0086,0.0092,0.0128,923
T6SE-NP_249306.1,VI,0.8109,0.0788,0.0019,0.0011,0.0972,0.0101,0.8109,171
T6SE-NP_249307.1,VI,0.9879,0.0003,0.0041,0.0002,0.0074,1e-04,0.9879,185
T6SE-NP_249311.1,VI,0.8909,0.0295,0.0515,0.0037,0.024,0.0003,0.8909,691
T6SE-NP_249314.1,VI,0.9968,0.0005,0.0006,1e-04,0.002,0.0,0.9968,167
T3SE-NP_249315.1,III,0.8915,0.0299,0.0021,0.0005,0.8915,0.0033,0.0728,114
