name,system,score,NonEffector.prob,T1SE.prob,T2SE.prob,T3SE.prob,T4SE.prob,T6SE.prob,length
T6SE-WP_001142947.1,VI,0.9997,1e-04,1e-04,0.0,1e-04,0.0,0.9997,172
T6SE-WP_000212125.1,VI,0.993,0.0054,0.0013,0.0002,1e-04,0.0,0.993,694
T6SE-WP_000070352.1,VI,0.9996,1e-04,1e-04,0.0,1e-04,1e-04,0.9996,1085
T6SE-WP_000526403.1,VI,0.9512,0.0127,0.0327,0.001,0.002,0.0003,0.9512,94
T6SE-WP_000113295.1,VI,0.9912,0.007,0.0014,0.0002,1e-04,1e-04,0.9912,1017
T6SE-WP_000078819.1,VI,0.5399,0.3885,0.0339,0.0027,0.0194,0.0156,0.5399,70
T6SE-WP_000849740.1,VI,0.734,0.0044,0.0017,0.0009,0.2278,0.0313,0.734,292
T6SE-WP_001161774.1,VI,0.7654,0.0542,0.0465,0.0021,0.0004,0.1314,0.7654,98
T6SE-WP_000237645.1,VI,0.9783,0.0143,0.0056,0.0005,0.0007,0.0007,0.9783,176
T6SE-WP_000132861.1,VI,0.976,0.0008,0.0084,0.0008,0.0075,0.0065,0.976,223
T6SE-WP_000009888.1,VI,0.6746,0.0992,0.0115,0.0019,0.0461,0.1667,0.6746,159
T6SE-WP_000110120.1,VI,0.683,0.1517,0.0011,0.0005,0.0034,0.1603,0.683,192
T6SE-WP_000213836.1,VI,0.9947,0.0013,0.0035,1e-04,0.0002,0.0003,0.9947,231
T6SE-WP_000056616.1,VI,0.7375,0.1206,0.0029,0.008,0.0453,0.0857,0.7375,276
T6SE-WP_000454151.1,VI,0.6679,0.0301,0.2211,0.0042,0.0723,0.0045,0.6679,120
T6SE-WP_001884520.1,VI,0.4862,0.3957,0.0321,0.0009,0.0402,0.0449,0.4862,50
T6SE-WP_001000867.1,VI,0.7576,0.0066,0.0023,0.0002,0.0322,0.201,0.7576,131
T6SE-WP_000561711.1,VI,0.5254,0.2541,0.0011,0.0006,0.0061,0.2127,0.5254,609
T6SE-WP_000803303.1,VI,0.4918,0.049,0.008,0.0009,0.0149,0.4355,0.4918,262
T6SE-WP_001001833.1,VI,0.5965,0.0353,0.0072,0.0011,0.1987,0.1612,0.5965,296
T6SE-WP_000082911.1,VI,0.5736,0.0006,0.083,0.0022,0.3237,0.017,0.5736,369
T6SE-WP_001076381.1,VI,0.4802,0.0072,0.0443,0.0033,0.4266,0.0384,0.4802,353
T6SE-WP_000105005.1,VI,0.5898,0.3216,0.0431,0.0032,0.0292,0.013,0.5898,70
